Name,Chain(s),Vertical
April Token,"BSC, Base, Celo, Optimism, Polygon",Consumer App
ALL STAKE,"Cronos, Cross-chain, Polygon",NFT
BerryLab,Multi-chain,Analytics
Creative Platform,"Base, Optimism",NFT
DefiPy,"Avalanche, Ethereum, Polygon",DeFi
Ecoland,"Cross-chain, Elysium",Gaming
Equadyne,"All EVM, BSC (Beta launch)",DeFi
Hallos,"Arbitrum, Base, Optimism, Polygon",NFT
Heritage Ventures,"Base, Optimism, Polygon","NFT, Real World Assets"
Playfulio,Base,Gaming
Sweep n’ Flip,"Arbitrum, Avalanche, BSC, Base, Blast, Ethereum, Linea, Mode, Moonbeam, Optimism, Polygon, zkSync",NFT-Fi
TheGameDAO,"BSC, Polygon",Gaming
Transactable,Base,NFT
Wag3s,"BeraChain, Multi-chain","DeFi, Real World Assets"
Chrono Games,Polygon,Gaming
DecentraDegens,Polygon,Gaming
FileMarket,,
Morkie,Multi-chain,NFT-Fi
Moverz Group,,NFT
Pass3,,NFT
Thrust Network,Multi-chain,Consumer App
World Association,,
Zotto,"Base, Multi-chain","DeFi, Trading"
SCOGÉ,"Base, ICP","Gaming, Real World Assets"
Vexor,Multi-chain,Gaming
Qliktag,,"NFT, Real World Assets"
